subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
1,visual,internal,30,35,1,uni,3--8,15--25,2,2,3--8,15--25,35,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,25,1,uni,1--10,5--13,1,4,5--13,1--10,30,25,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,22.5,1,uni,7--19,17--26,1,6,17--26,7--19,30,22.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,20,1,uni,16--23,9--21,1,8,9--21,16--23,30,20,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,30,1,uni,2--6,4--11,1,10,4--11,2--6,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,37.5,1,uni,18--27,12--22,1,12,12--22,18--27,30,37.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,40,1,uni,20--28,14--24,1,14,14--24,20--28,30,40,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,40,2,uni,20--28,12--22,1,16,12--22,20--28,30,40,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,22.5,2,uni,7--19,5--13,1,18,5--13,7--19,30,22.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,25,2,uni,1--10,4--11,1,20,4--11,1--10,30,25,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,37.5,2,uni,18--27,15--25,1,22,15--25,18--27,30,37.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,35,2,uni,3--8,17--26,1,24,17--26,3--8,30,35,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,30,2,uni,2--6,14--24,2,26,2--6,14--24,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,20,2,uni,16--23,9--21,1,28,9--21,16--23,30,20,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,30,3,uni,2--6,15--25,1,30,15--25,2--6,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,37.5,3,uni,18--27,12--22,2,32,18--27,12--22,37.5,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,40,3,uni,20--28,9--21,1,34,9--21,20--28,30,40,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,22.5,3,uni,7--19,14--24,1,36,14--24,7--19,30,22.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,20,3,uni,16--23,5--13,1,38,5--13,16--23,30,20,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,25,3,uni,1--10,17--26,1,40,17--26,1--10,30,25,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,35,3,uni,3--8,4--11,1,42,4--11,3--8,30,35,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,40,4,uni,20--28,12--22,1,44,12--22,20--28,30,40,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,22.5,4,uni,7--19,5--13,1,46,5--13,7--19,30,22.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,30,4,uni,2--6,4--11,1,48,4--11,2--6,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,20,4,uni,16--23,9--21,2,50,16--23,9--21,20,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,37.5,4,uni,18--27,15--25,1,52,15--25,18--27,30,37.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,35,4,uni,3--8,14--24,1,54,14--24,3--8,30,35,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,25,4,uni,1--10,17--26,1,56,17--26,1--10,30,25,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,35,5,uni,3--8,9--21,1,58,9--21,3--8,30,35,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,20,5,uni,16--23,12--22,1,60,12--22,16--23,30,20,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,37.5,5,uni,18--27,4--11,2,62,18--27,4--11,37.5,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,30,5,uni,2--6,15--25,1,64,15--25,2--6,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,40,5,uni,20--28,14--24,1,66,14--24,20--28,30,40,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,25,5,uni,1--10,5--13,1,68,5--13,1--10,30,25,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,internal,30,22.5,5,uni,7--19,17--26,1,70,17--26,7--19,30,22.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,30,1,uni,20--28,14--24,2,1,20--28,14--24,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,37.5,1,uni,7--19,4--11,1,3,4--11,7--19,30,37.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,22.5,1,uni,3--8,9--21,1,5,9--21,3--8,30,22.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,20,1,uni,2--6,15--25,2,7,2--6,15--25,20,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,35,1,uni,16--23,5--13,1,9,5--13,16--23,30,35,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,25,1,uni,18--27,12--22,1,11,12--22,18--27,30,25,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,40,1,uni,1--10,17--26,2,13,1--10,17--26,40,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,40,2,uni,1--10,5--13,2,15,1--10,5--13,40,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,37.5,2,uni,7--19,12--22,2,17,7--19,12--22,37.5,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,22.5,2,uni,3--8,15--25,2,19,3--8,15--25,22.5,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,25,2,uni,18--27,9--21,1,21,9--21,18--27,30,25,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,30,2,uni,20--28,14--24,1,23,14--24,20--28,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,20,2,uni,2--6,17--26,1,25,17--26,2--6,30,20,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,35,2,uni,16--23,4--11,1,27,4--11,16--23,30,35,0,30,0.8,0,1,0,0,NA,NA,NA
