subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
4,visual,internal,30,35,1,uni,3--8,12--22,2,2,3--8,12--22,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,40,1,uni,20--28,9--21,1,4,9--21,20--28,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,22.5,1,uni,7--19,5--13,1,6,5--13,7--19,30,22.5,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,30,1,uni,2--6,14--24,1,8,14--24,2--6,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,25,1,uni,1--10,15--25,2,10,1--10,15--25,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,37.5,1,uni,18--27,17--26,2,12,18--27,17--26,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,20,1,uni,16--23,4--11,1,14,4--11,16--23,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,22.5,2,uni,7--19,4--11,2,16,7--19,4--11,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,37.5,2,uni,18--27,9--21,2,18,18--27,9--21,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,40,2,uni,20--28,12--22,2,20,20--28,12--22,40,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,30,2,uni,2--6,15--25,2,22,2--6,15--25,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,20,2,uni,16--23,17--26,2,24,16--23,17--26,20,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,25,2,uni,1--10,5--13,2,26,1--10,5--13,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,35,2,uni,3--8,14--24,2,28,3--8,14--24,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,37.5,3,uni,18--27,15--25,1,30,15--25,18--27,30,37.5,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,22.5,3,uni,7--19,4--11,1,32,4--11,7--19,30,22.5,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,40,3,uni,20--28,12--22,1,34,12--22,20--28,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,30,3,uni,2--6,9--21,2,36,2--6,9--21,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,25,3,uni,1--10,14--24,2,38,1--10,14--24,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,35,3,uni,3--8,17--26,2,40,3--8,17--26,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,20,3,uni,16--23,5--13,1,42,5--13,16--23,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,25,4,uni,1--10,5--13,1,44,5--13,1--10,30,25,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,20,4,uni,16--23,14--24,2,46,16--23,14--24,20,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,22.5,4,uni,7--19,12--22,2,48,7--19,12--22,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,35,4,uni,3--8,9--21,2,50,3--8,9--21,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,37.5,4,uni,18--27,4--11,1,52,4--11,18--27,30,37.5,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,30,4,uni,2--6,17--26,1,54,17--26,2--6,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,40,4,uni,20--28,15--25,2,56,20--28,15--25,40,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,40,5,uni,20--28,14--24,1,58,14--24,20--28,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,37.5,5,uni,18--27,12--22,2,60,18--27,12--22,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,22.5,5,uni,7--19,17--26,1,62,17--26,7--19,30,22.5,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,30,5,uni,2--6,5--13,2,64,2--6,5--13,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,20,5,uni,16--23,4--11,2,66,16--23,4--11,20,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,35,5,uni,3--8,9--21,2,68,3--8,9--21,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,internal,30,25,5,uni,1--10,15--25,2,70,1--10,15--25,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,20,1,uni,2--6,15--25,1,1,15--25,2--6,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,22.5,1,uni,3--8,4--11,2,3,3--8,4--11,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,30,1,uni,20--28,14--24,2,5,20--28,14--24,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,37.5,1,uni,7--19,5--13,2,7,7--19,5--13,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,40,1,uni,1--10,9--21,1,9,9--21,1--10,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,25,1,uni,18--27,12--22,1,11,12--22,18--27,30,25,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,35,1,uni,16--23,17--26,1,13,17--26,16--23,30,35,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,22.5,2,uni,3--8,17--26,2,15,3--8,17--26,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,37.5,2,uni,7--19,14--24,2,17,7--19,14--24,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,30,2,uni,20--28,4--11,2,19,20--28,4--11,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,25,2,uni,18--27,5--13,2,21,18--27,5--13,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,40,2,uni,1--10,9--21,1,23,9--21,1--10,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,35,2,uni,16--23,12--22,2,25,16--23,12--22,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,20,2,uni,2--6,15--25,1,27,15--25,2--6,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,25,3,uni,18--27,9--21,2,29,18--27,9--21,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,35,3,uni,16--23,5--13,1,31,5--13,16--23,30,35,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,30,3,uni,20--28,17--26,1,33,17--26,20--28,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,37.5,3,uni,7--19,4--11,2,35,7--19,4--11,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,22.5,3,uni,3--8,15--25,2,37,3--8,15--25,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,20,3,uni,2--6,14--24,1,39,14--24,2--6,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
