subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,ownership_question,ang_resp,ownership_resp,agency_resp
2,visual,external,30,22.5,1,uni,7--19,17--26,1,1,5--13,7--19,30,22.5,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,30,1,uni,3--8,9--21,2,5,3--8,15--25,30,30,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,40,1,uni,18--27,4--11,1,8,14--24,18--27,30,40,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,35,1,uni,1--10,15--25,2,14,1--10,4--11,35,30,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,20,1,uni,2--6,12--22,2,17,2--6,15--25,20,30,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,25,1,uni,20--28,12--22,2,19,20--28,9--21,25,30,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,37.5,1,uni,16--23,14--24,2,20,16--23,14--24,37.5,30,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,20,2,uni,2--6,5--13,2,23,2--6,17--26,20,30,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,35,2,uni,1--10,14--24,2,25,1--10,5--13,35,30,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,30,2,uni,3--8,17--26,1,26,17--26,3--8,30,30,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,40,2,uni,18--27,12--22,1,28,15--25,18--27,30,40,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,37.5,2,uni,16--23,15--25,1,34,4--11,16--23,30,37.5,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,25,2,uni,20--28,9--21,2,37,20--28,9--21,25,30,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,22.5,2,uni,7--19,17--26,1,40,14--24,7--19,30,22.5,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,22.5,3,uni,7--19,9--21,1,46,9--21,7--19,30,22.5,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,35,3,uni,1--10,17--26,1,47,9--21,1--10,30,35,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,37.5,3,uni,16--23,12--22,1,49,17--26,16--23,30,37.5,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,25,3,uni,20--28,12--22,2,56,20--28,14--24,25,30,0,30,0.8,0,0,NA,NA,NA
2,visual,external,30,30,3,uni,3--8,17--26,1,58,5--13,3--8,30,30,0,30,0.8,0,0,NA,NA,NA
