subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
1,visual,internal,30,25,1,uni,16--23,5--13,1,3,5--13,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,40,1,uni,20--28,12--22,1,6,12--22,20--28,30,40,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,22.5,1,uni,1--10,14--24,2,9,1--10,14--24,22.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,20,1,uni,3--8,15--25,2,12,3--8,15--25,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,30,1,uni,18--27,9--21,2,15,18--27,9--21,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,37.5,1,uni,7--19,4--11,2,18,7--19,4--11,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,35,1,uni,2--6,17--26,1,21,17--26,2--6,30,35,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,30,2,uni,18--27,5--13,2,24,18--27,5--13,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,22.5,2,uni,1--10,12--22,1,27,12--22,1--10,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,25,2,uni,16--23,14--24,1,30,14--24,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,35,2,uni,2--6,17--26,2,33,2--6,17--26,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,37.5,2,uni,7--19,4--11,1,36,4--11,7--19,30,37.5,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,40,2,uni,20--28,9--21,1,39,9--21,20--28,30,40,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,20,2,uni,3--8,15--25,1,42,15--25,3--8,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
1,visual,internal,30,22.5,3,uni,1--10,4--11,1,45,4--11,1--10,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
