subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
10,proprio,external,30,40,1,uni,1--10,14--24,2,5,1--10,14--24,40,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,30,1,uni,7--19,9--21,2,7,7--19,9--21,30,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,20,1,uni,16--23,12--22,2,10,16--23,12--22,20,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,37.5,1,uni,3--8,14--24,2,16,3--8,14--24,37.5,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,22.5,1,uni,18--27,4--11,2,17,18--27,4--11,22.5,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,25,1,uni,2--6,9--21,2,19,2--6,9--21,25,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,35,1,uni,20--28,15--25,2,20,20--28,15--25,35,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,25,2,uni,2--6,14--24,1,22,14--24,2--6,30,25,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,40,2,uni,1--10,17--26,2,23,1--10,17--26,40,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,22.5,2,uni,18--27,4--11,2,25,18--27,4--11,22.5,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,35,2,uni,20--28,15--25,2,26,20--28,15--25,35,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,20,2,uni,16--23,12--22,1,29,12--22,16--23,30,20,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,37.5,2,uni,3--8,4--11,2,32,3--8,4--11,37.5,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,30,2,uni,7--19,5--13,2,37,7--19,5--13,30,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,22.5,3,uni,18--27,5--13,1,43,5--13,18--27,30,22.5,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,20,3,uni,16--23,4--11,2,44,16--23,4--11,20,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,37.5,3,uni,3--8,12--22,2,46,3--8,12--22,37.5,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,25,3,uni,2--6,15--25,2,49,2--6,15--25,25,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,40,3,uni,1--10,15--25,1,56,15--25,1--10,30,40,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,30,3,uni,7--19,9--21,2,61,7--19,9--21,30,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,35,3,uni,20--28,4--11,1,62,4--11,20--28,30,35,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,22.5,4,uni,18--27,4--11,1,70,4--11,18--27,30,22.5,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,37.5,4,uni,3--8,15--25,1,73,15--25,3--8,30,37.5,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,25,4,uni,2--6,17--26,1,74,17--26,2--6,30,25,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,20,4,uni,16--23,12--22,1,76,12--22,16--23,30,20,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,30,4,uni,7--19,5--13,1,77,5--13,7--19,30,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,40,4,uni,1--10,9--21,2,80,1--10,9--21,40,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,35,4,uni,20--28,4--11,2,82,20--28,4--11,35,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,35,5,uni,20--28,4--11,2,86,20--28,4--11,35,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,40,5,uni,1--10,5--13,1,88,5--13,1--10,30,40,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,22.5,5,uni,18--27,15--25,1,92,15--25,18--27,30,22.5,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,20,5,uni,16--23,14--24,2,95,16--23,14--24,20,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,30,5,uni,7--19,17--26,1,97,17--26,7--19,30,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,37.5,5,uni,3--8,9--21,2,101,3--8,9--21,37.5,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,25,5,uni,2--6,14--24,1,103,14--24,2--6,30,25,0,30,1,0,0,0,0,NA,NA,NA
