subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
4,proprio,external,30,25,1,uni,1--10,14--24,2,1,1--10,14--24,25,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,35,1,uni,3--8,12--22,2,2,3--8,12--22,35,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,22.5,1,uni,7--19,5--13,2,4,7--19,5--13,22.5,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,37.5,1,uni,18--27,9--21,2,7,18--27,9--21,37.5,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,20,1,uni,16--23,5--13,1,10,5--13,16--23,30,20,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,40,1,uni,20--28,4--11,1,11,4--11,20--28,30,40,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,30,1,uni,2--6,17--26,1,12,17--26,2--6,30,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,25,2,uni,1--10,14--24,2,17,1--10,14--24,25,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,40,2,uni,20--28,14--24,1,18,14--24,20--28,30,40,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,20,2,uni,16--23,12--22,1,20,12--22,16--23,30,20,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,35,2,uni,3--8,4--11,1,21,4--11,3--8,30,35,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,30,2,uni,2--6,12--22,2,23,2--6,12--22,30,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,22.5,2,uni,7--19,9--21,1,24,9--21,7--19,30,22.5,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,37.5,2,uni,18--27,15--25,1,25,15--25,18--27,30,37.5,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,35,3,uni,3--8,5--13,1,30,5--13,3--8,30,35,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,37.5,3,uni,18--27,14--24,1,31,14--24,18--27,30,37.5,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,22.5,3,uni,7--19,5--13,2,32,7--19,5--13,22.5,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,25,3,uni,1--10,12--22,2,36,1--10,12--22,25,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,40,3,uni,20--28,17--26,1,38,17--26,20--28,30,40,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,20,3,uni,16--23,4--11,1,41,4--11,16--23,30,20,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,30,3,uni,2--6,17--26,2,42,2--6,17--26,30,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,30,4,uni,2--6,9--21,1,44,9--21,2--6,30,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,25,4,uni,1--10,14--24,2,45,1--10,14--24,25,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,35,4,uni,3--8,17--26,1,48,17--26,3--8,30,35,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,37.5,4,uni,18--27,15--25,2,50,18--27,15--25,37.5,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,20,4,uni,16--23,5--13,2,52,16--23,5--13,20,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,40,4,uni,20--28,4--11,1,53,4--11,20--28,30,40,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,22.5,4,uni,7--19,9--21,2,56,7--19,9--21,22.5,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,20,5,uni,16--23,15--25,2,59,16--23,15--25,20,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,22.5,5,uni,7--19,4--11,1,60,4--11,7--19,30,22.5,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,35,5,uni,3--8,12--22,1,62,12--22,3--8,30,35,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,40,5,uni,20--28,4--11,2,63,20--28,4--11,40,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,37.5,5,uni,18--27,14--24,1,65,14--24,18--27,30,37.5,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,30,5,uni,2--6,17--26,2,67,2--6,17--26,30,30,0,30,1,0,0,0,0,NA,NA,NA
4,proprio,external,30,25,5,uni,1--10,15--25,1,69,15--25,1--10,30,25,0,30,1,0,0,0,0,NA,NA,NA
