"subj","mod","co","standard","stim","block","mod2","stim_letter","standard_letter","ord.st","trial","stim1","stim2","stim1_let","stim2_let","incongruency","visual_real_standard","blur","arm","resp"
3,"visual","external",30,22.5,1,"uni","7--19","5--13",1,14,"30","22.5","5--13","7--19",0,30,0,0,NA
3,"visual","external",30,40,1,"uni","18--27","4--11",1,15,"30","40","4--11","18--27",0,30,0,0,NA
3,"visual","external",30,37.5,1,"uni","16--23","17--26",2,24,"37.5","30","16--23","17--26",0,30,0,0,NA
3,"visual","external",30,20,1,"uni","2--6","14--24",1,44,"30","20","14--24","2--6",0,30,0,0,NA
3,"visual","external",30,35,1,"uni","1--10","5--13",2,55,"35","30","1--10","5--13",0,30,0,0,NA
3,"visual","external",30,30,1,"uni","3--8","5--13",2,62,"30","30","3--8","5--13",0,30,0,0,NA
3,"visual","external",30,25,1,"uni","20--28","9--21",1,64,"30","25","9--21","20--28",0,30,0,0,NA
3,"visual","external",30,37.5,2,"uni","16--23","17--26",2,81,"37.5","30","16--23","17--26",0,30,0,0,NA
3,"visual","external",30,40,2,"uni","18--27","17--26",1,92,"30","40","17--26","18--27",0,30,0,0,NA
3,"visual","external",30,25,2,"uni","20--28","9--21",2,93,"25","30","20--28","9--21",0,30,0,0,NA
3,"visual","external",30,30,2,"uni","3--8","4--11",1,94,"30","30","4--11","3--8",0,30,0,0,NA
3,"visual","external",30,22.5,2,"uni","7--19","12--22",2,114,"22.5","30","7--19","12--22",0,30,0,0,NA
3,"visual","external",30,20,2,"uni","2--6","12--22",2,131,"20","30","2--6","12--22",0,30,0,0,NA
3,"visual","external",30,35,2,"uni","1--10","15--25",2,135,"35","30","1--10","15--25",0,30,0,0,NA
3,"visual","external",30,25,3,"uni","20--28","14--24",1,141,"30","25","14--24","20--28",0,30,0,0,NA
3,"visual","external",30,37.5,3,"uni","16--23","15--25",2,142,"37.5","30","16--23","15--25",0,30,0,0,NA
3,"visual","external",30,40,3,"uni","18--27","12--22",2,152,"40","30","18--27","12--22",0,30,0,0,NA
3,"visual","external",30,35,3,"uni","1--10","12--22",1,153,"30","35","12--22","1--10",0,30,0,0,NA
3,"visual","external",30,30,3,"uni","3--8","5--13",1,175,"30","30","5--13","3--8",0,30,0,0,NA
3,"visual","external",30,22.5,3,"uni","7--19","4--11",1,195,"30","22.5","4--11","7--19",0,30,0,0,NA
3,"visual","external",30,20,3,"uni","2--6","12--22",2,203,"20","30","2--6","12--22",0,30,0,0,NA
3,"visual","internal",30,22.5,1,"uni","16--23","5--13",1,8,"30","22.5","5--13","16--23",0,30,0,1,NA
3,"visual","internal",30,25,1,"uni","18--27","12--22",2,27,"25","30","18--27","12--22",0,30,0,1,NA
3,"visual","internal",30,30,1,"uni","2--6","5--13",2,30,"30","30","2--6","5--13",0,30,0,1,NA
3,"visual","internal",30,35,1,"uni","7--19","4--11",2,38,"35","30","7--19","4--11",0,30,0,1,NA
3,"visual","internal",30,20,1,"uni","1--10","5--13",1,47,"30","20","5--13","1--10",0,30,0,1,NA
3,"visual","internal",30,37.5,1,"uni","20--28","15--25",2,58,"37.5","30","20--28","15--25",0,30,0,1,NA
3,"visual","internal",30,40,1,"uni","3--8","5--13",2,60,"40","30","3--8","5--13",0,30,0,1,NA
3,"visual","internal",30,30,2,"uni","2--6","15--25",2,88,"30","30","2--6","15--25",0,30,0,0,NA
3,"visual","internal",30,37.5,2,"uni","20--28","4--11",1,89,"30","37.5","4--11","20--28",0,30,0,0,NA
3,"visual","internal",30,35,2,"uni","7--19","14--24",2,98,"35","30","7--19","14--24",0,30,0,0,NA
3,"visual","internal",30,40,2,"uni","3--8","15--25",1,99,"30","40","15--25","3--8",0,30,0,0,NA
3,"visual","internal",30,20,2,"uni","1--10","5--13",2,106,"20","30","1--10","5--13",0,30,0,0,NA
3,"visual","internal",30,22.5,2,"uni","16--23","12--22",2,110,"22.5","30","16--23","12--22",0,30,0,0,NA
3,"visual","internal",30,25,2,"uni","18--27","4--11",1,130,"30","25","4--11","18--27",0,30,0,0,NA
3,"visual","internal",30,40,3,"uni","3--8","15--25",1,147,"30","40","15--25","3--8",0,30,0,1,NA
3,"visual","internal",30,22.5,3,"uni","16--23","17--26",1,159,"30","22.5","17--26","16--23",0,30,0,1,NA
3,"visual","internal",30,35,3,"uni","7--19","4--11",1,170,"30","35","4--11","7--19",0,30,0,1,NA
3,"visual","internal",30,37.5,3,"uni","20--28","17--26",1,177,"30","37.5","17--26","20--28",0,30,0,1,NA
3,"visual","internal",30,25,3,"uni","18--27","15--25",2,198,"25","30","18--27","15--25",0,30,0,1,NA
3,"visual","internal",30,30,3,"uni","2--6","14--24",1,199,"30","30","14--24","2--6",0,30,0,1,NA
3,"visual","internal",30,20,3,"uni","1--10","4--11",1,208,"30","20","4--11","1--10",0,30,0,1,NA
3,"visual","internal",30,37.5,4,"uni","20--28","14--24",2,229,"37.5","30","20--28","14--24",0,30,0,0,NA
3,"visual","internal",30,22.5,4,"uni","16--23","9--21",1,230,"30","22.5","9--21","16--23",0,30,0,0,NA
3,"visual","internal",30,25,4,"uni","18--27","12--22",2,249,"25","30","18--27","12--22",0,30,0,0,NA
3,"visual","internal",30,35,4,"uni","7--19","15--25",2,250,"35","30","7--19","15--25",0,30,0,0,NA
3,"visual","internal",30,30,4,"uni","2--6","12--22",2,266,"30","30","2--6","12--22",0,30,0,0,NA
3,"visual","internal",30,40,4,"uni","3--8","17--26",2,267,"40","30","3--8","17--26",0,30,0,0,NA
3,"visual","internal",30,20,4,"uni","1--10","14--24",1,278,"30","20","14--24","1--10",0,30,0,0,NA
3,"visual","internal",30,25,5,"uni","18--27","4--11",1,286,"30","25","4--11","18--27",0,30,0,1,NA
3,"visual","internal",30,37.5,5,"uni","20--28","15--25",1,287,"30","37.5","15--25","20--28",0,30,0,1,NA
3,"visual","internal",30,40,5,"uni","3--8","9--21",1,290,"30","40","9--21","3--8",0,30,0,1,NA
3,"visual","internal",30,35,5,"uni","7--19","5--13",2,317,"35","30","7--19","5--13",0,30,0,1,NA
3,"visual","internal",30,22.5,5,"uni","16--23","17--26",2,337,"22.5","30","16--23","17--26",0,30,0,1,NA
3,"visual","internal",30,30,5,"uni","2--6","9--21",2,347,"30","30","2--6","9--21",0,30,0,1,NA
3,"visual","internal",30,20,5,"uni","1--10","17--26",2,350,"20","30","1--10","17--26",0,30,0,1,NA
3,"visual","internal",30,40,6,"uni","3--8","12--22",1,356,"30","40","12--22","3--8",0,30,0,0,NA
3,"visual","internal",30,30,6,"uni","2--6","9--21",1,376,"30","30","9--21","2--6",0,30,0,0,NA
3,"visual","internal",30,22.5,6,"uni","16--23","12--22",1,390,"30","22.5","12--22","16--23",0,30,0,0,NA
3,"visual","internal",30,25,6,"uni","18--27","4--11",2,400,"25","30","18--27","4--11",0,30,0,0,NA
3,"visual","internal",30,37.5,6,"uni","20--28","5--13",1,409,"30","37.5","5--13","20--28",0,30,0,0,NA
3,"visual","internal",30,35,6,"uni","7--19","9--21",1,410,"30","35","9--21","7--19",0,30,0,0,NA
3,"visual","internal",30,20,6,"uni","1--10","14--24",1,419,"30","20","14--24","1--10",0,30,0,0,NA
3,"proprio","external",30,37.5,1,"uni","16--23","4--11",2,211,"37.5","30","16--23","4--11",1,30,1,0,NA
3,"proprio","external",30,40,1,"uni","18--27","17--26",1,222,"30","40","17--26","18--27",1,30,1,0,NA
3,"proprio","external",30,22.5,1,"uni","7--19","17--26",1,223,"30","22.5","17--26","7--19",1,30,1,0,NA
3,"proprio","external",30,30,1,"uni","3--8","14--24",2,234,"30","30","3--8","14--24",1,30,1,0,NA
3,"proprio","external",30,20,1,"uni","2--6","4--11",1,235,"30","20","4--11","2--6",1,30,1,0,NA
3,"proprio","external",30,25,1,"uni","20--28","15--25",1,273,"30","25","15--25","20--28",1,30,1,0,NA
3,"proprio","external",30,35,1,"uni","1--10","4--11",2,275,"35","30","1--10","4--11",1,30,1,0,NA
3,"proprio","external",30,40,2,"uni","18--27","17--26",1,282,"30","40","17--26","18--27",1,30,1,0,NA
3,"proprio","external",30,20,2,"uni","2--6","15--25",2,304,"20","30","2--6","15--25",1,30,1,0,NA
3,"proprio","external",30,22.5,2,"uni","7--19","14--24",2,321,"22.5","30","7--19","14--24",1,30,1,0,NA
3,"proprio","external",30,37.5,2,"uni","16--23","4--11",2,322,"37.5","30","16--23","4--11",1,30,1,0,NA
3,"proprio","external",30,25,2,"uni","20--28","5--13",2,323,"25","30","20--28","5--13",1,30,1,0,NA
3,"proprio","external",30,30,2,"uni","3--8","4--11",1,332,"30","30","4--11","3--8",1,30,1,0,NA
3,"proprio","external",30,35,2,"uni","1--10","15--25",2,341,"35","30","1--10","15--25",1,30,1,0,NA
3,"proprio","external",30,35,3,"uni","1--10","17--26",1,361,"30","35","17--26","1--10",1,30,1,0,NA
3,"proprio","external",30,20,3,"uni","2--6","14--24",2,372,"20","30","2--6","14--24",1,30,1,0,NA
3,"proprio","external",30,22.5,3,"uni","7--19","17--26",1,383,"30","22.5","17--26","7--19",1,30,1,0,NA
3,"proprio","external",30,40,3,"uni","18--27","12--22",2,393,"40","30","18--27","12--22",1,30,1,0,NA
3,"proprio","external",30,30,3,"uni","3--8","14--24",1,394,"30","30","14--24","3--8",1,30,1,0,NA
3,"proprio","external",30,25,3,"uni","20--28","4--11",1,402,"30","25","4--11","20--28",1,30,1,0,NA
3,"proprio","external",30,37.5,3,"uni","16--23","9--21",2,414,"37.5","30","16--23","9--21",1,30,1,0,NA
